"category_id","name","url_name","description","meta_description","meta_keywords","auto_category_term","num_videos","last_video_id","image_id"
2123,"Stand Up (No Gi) - Zone 3 - Shot - Double Leg - Offensive - Transitions","stand-up-no-gi-zone-3-shot-double-leg-offensive-transitions","","","","",1,2013,0
2251,"Stand Up (No Gi) - Zone 2 - Underhook - High Single - Defensive - Escapes","stand-up-no-gi-zone-2-underhook-high-single-defensive-escapes","","","","",0,0,0
2125,"Stand Up (Gi) - Zone 1 - Cross Collar - Sleeve - Defensive - Take Downs","stand-up-gi-zone-1-cross-collar-sleeve-defensive-take-downs","","","","",1,2015,0
2126,"Stand Up (No Gi) - Zone 2 - Underhook - High Single and Arm - Offensive - Throws","stand-up-no-gi-zone-2-underhook-high-single-and-arm-offensive-throws","","","","",3,2013,0
2127,"Stand Up (No Gi) - Zone 1 - Wrist Control - Same Side (Flipped Grip) - Offensive - Throws","stand-up-no-gi-zone-1-wrist-control-same-side-flipped-grip-offensive-throws","","","","",1,2014,0
2321,"Stand Up (No Gi) - Zone 2 - Underhook - Seatbelt and Gi Skirt - Offensive - Throws","stand-up-no-gi-zone-2-underhook-seatbelt-and-gi-skirt-offensive-throws","","","","",1,2013,0
2358,"Stand Up (Gi) - Zone 1 - Miscellaneous - Over Under - Offensive - Take Downs","stand-up-gi-zone-1-miscellaneous-over-under-offensive-take-downs","","","","",1,2015,0
2193,"Stand Up (No Gi) - Zone 1 - Tie Up - 50 50 - Defensive - Control","stand-up-no-gi-zone-1-tie-up-50-50-defensive-control","","","","",1,2015,0
2128,"Stand Up (No Gi) - Zone 1 - Inside Control - Double Bicep - Offensive - Throws","stand-up-no-gi-zone-1-inside-control-double-bicep-offensive-throws","","","","",2,2014,0
2129,"Stand Up (No Gi) - Zone 1 - Collar Tie - Tricep - Offensive - Throws","stand-up-no-gi-zone-1-collar-tie-tricep-offensive-throws","","","","",2,2013,0
2130,"Stand Up (Gi) - Zone 2 - Whizzer - Whizzer - Offensive - Take Downs","stand-up-gi-zone-2-whizzer-whizzer-offensive-take-downs","","","","",1,2014,0
2131,"Stand Up (No Gi) - Zone 3 - Snap Down - Front Headlock - Defensive - Throws","stand-up-no-gi-zone-3-snap-down-front-headlock-defensive-throws","","","","",1,2014,0
